purchase_id,user_id,amount,purchase_date
1,1,96.26,2026-01-13
2,1,94.49,2025-06-29
3,1,103.9,2026-04-18
4,1,117.21,2025-09-22
5,1,44.5,2026-04-04
6,9,75.28,2026-02-09
7,9,104.39,2026-04-11
8,9,14.14,2026-02-27
9,14,47.3,2026-02-07
10,14,77.61,2025-11-14
11,16,42.18,2025-09-04
12,16,20.25,2025-11-09
13,16,37.95,2025-08-22
14,19,8.07,2025-11-19
15,19,16.98,2026-03-08
16,19,103.65,2026-04-17
17,19,73.74,2025-08-28
18,21,14.85,2025-12-03
19,22,79.73,2025-12-07
20,22,123.68,2025-06-02
21,22,88.39,2026-04-11
22,22,49.46,2025-07-14
23,26,97.41,2025-08-26
24,26,93.04,2026-01-07
25,26,22.13,2026-03-10
26,28,14.2,2026-01-13
27,29,88.22,2025-06-14
28,29,22.69,2025-06-22
29,34,30.89,2025-09-03
30,34,24.06,2025-06-03
31,36,67.56,2025-06-20
32,36,44.1,2025-05-25
33,36,74.92,2025-08-16
34,36,30.79,2025-10-11
35,42,119.88,2025-10-14
36,42,40.37,2026-01-18
37,42,104.72,2025-11-13
38,44,42.77,2025-12-16
39,44,91.9,2026-01-29
40,44,36.7,2026-01-24
41,47,37.02,2025-06-06
42,47,107.8,2026-04-22
43,47,86.66,2025-07-09
44,47,103.38,2025-09-17
45,47,98.58,2025-08-01
46,52,91.7,2025-07-15
47,52,95.02,2025-06-28
48,52,89.35,2025-05-27
49,56,14.09,2025-06-17
50,56,98.08,2025-07-30
51,56,74.98,2025-10-18
52,64,57.7,2025-09-11
53,68,49.84,2026-04-13
54,68,14.65,2025-08-06
55,69,59.64,2025-08-29
56,69,114.66,2025-12-13
57,69,110.09,2025-06-04
58,70,158.48,2026-01-23
59,73,3.34,2025-05-15
60,73,58.57,2025-12-27
61,73,16.87,2025-06-12
62,73,54.41,2026-04-26
63,73,6.65,2026-03-07
64,74,29.07,2025-06-29
65,79,101.03,2025-07-23
66,79,48.25,2025-06-04
67,79,13.09,2026-01-26
68,79,71.01,2025-06-03
69,79,12.31,2026-05-02
70,83,74.68,2026-01-02
71,83,35.08,2025-07-06
72,87,32.93,2025-06-24
73,87,93.4,2026-03-11
74,87,64.1,2026-05-15
75,87,25.71,2025-11-11
76,87,104.79,2026-02-12
77,94,79.05,2025-07-15
78,94,17.07,2025-08-23
79,95,37.8,2026-03-17
80,98,12.26,2025-12-17
81,98,5.56,2025-10-31
82,98,43.17,2025-06-10
83,98,21.32,2025-08-02
84,108,28.61,2026-04-10
85,108,13.69,2025-10-14
86,108,47.98,2026-01-07
87,108,94.73,2025-12-08
88,110,31.55,2026-03-30
89,110,16.83,2025-10-12
90,110,68.78,2025-11-29
91,110,18.66,2025-11-15
92,110,91.35,2025-08-09
93,112,65.77,2026-03-03
94,112,88.87,2025-10-28
95,113,51.99,2025-07-25
96,113,74.79,2026-04-12
97,113,60.99,2025-11-19
98,116,13.38,2025-07-05
99,120,15.71,2026-03-05
100,120,28.03,2025-07-05
101,120,20.91,2025-08-17
102,122,31.81,2026-01-18
103,122,67.19,2025-06-02
104,123,108.64,2025-10-08
105,123,44.76,2026-05-06
106,123,18.57,2025-06-20
107,127,91.89,2025-08-07
108,127,85.11,2025-10-07
109,127,101.19,2025-11-23
110,127,48.7,2025-09-16
111,127,42.63,2026-01-13
112,128,23.56,2026-02-24
113,128,96.2,2025-05-26
114,132,76.54,2025-09-29
115,133,88.38,2025-11-23
116,133,113.86,2025-08-24
117,133,56.61,2025-07-26
118,134,7.18,2025-11-14
119,134,11.67,2025-07-28
120,134,41.34,2026-02-09
121,136,81.9,2025-11-04
122,141,31.66,2025-05-19
123,141,18.27,2025-11-07
124,141,101.38,2026-01-29
125,144,47.49,2025-06-22
126,144,14.77,2025-05-28
127,144,49.12,2025-11-29
128,149,36.6,2025-10-31
129,149,16.66,2025-08-08
130,149,6.77,2025-09-27
131,149,43.54,2025-08-19
132,149,81.3,2025-08-03
133,152,114.48,2025-09-04
134,152,15.86,2025-06-26
135,152,117.04,2026-04-24
136,154,16.19,2025-06-20
137,155,50.26,2025-11-27
138,155,26.43,2025-05-27
139,155,28.51,2026-02-21
140,155,13.35,2026-02-02
141,155,34.73,2025-06-09
142,160,138.11,2025-11-27
143,160,87.22,2026-04-10
144,160,47.92,2025-10-10
145,164,69.75,2026-01-25
146,164,14.69,2025-08-21
147,165,145.79,2025-08-02
148,165,158.17,2025-05-21
149,165,9.58,2025-12-17
150,165,12.99,2026-03-21
151,173,53.02,2025-06-20
152,173,77.66,2026-04-15
153,173,84.03,2026-05-01
154,178,71.37,2025-09-27
155,178,67.68,2025-10-02
156,178,69.07,2026-01-06
157,178,62.19,2025-09-21
158,178,134.84,2025-06-08
159,190,23.85,2026-04-01
160,190,25.02,2025-09-29
161,193,37.36,2026-05-06
162,193,104.01,2025-08-07
163,193,15.53,2025-05-29
164,193,100.19,2025-11-06
165,193,9.98,2025-12-21
166,196,56.31,2026-01-22
167,196,104.19,2026-01-30
168,196,15.53,2026-01-16
169,196,52.96,2025-06-09
170,197,128.31,2025-06-27
171,197,74.84,2025-07-08
172,199,148.22,2026-01-05
173,199,54.16,2025-05-29
174,200,12.56,2025-09-21
175,200,45.37,2026-04-02
176,200,118.5,2025-07-30
177,205,33.49,2025-05-17
178,205,61.3,2025-09-09
179,205,7.17,2025-06-13
180,205,108.53,2025-12-27
181,206,56.51,2025-07-02
182,206,98.39,2025-08-04
183,211,37.83,2026-01-27
184,211,108.1,2026-03-04
185,212,51.97,2026-02-10
186,212,29.61,2025-09-30
187,216,65.62,2025-08-17
188,220,80.07,2026-01-16
189,240,98.84,2026-01-27
190,243,42.34,2025-10-15
191,243,73.53,2025-05-30
192,243,112.78,2025-11-15
193,243,98.02,2025-12-30
194,254,117.82,2025-09-29
195,255,123.54,2025-11-19
196,255,141.15,2025-07-16
197,255,44.23,2025-10-16
198,255,90.21,2025-10-18
199,257,107.91,2025-07-12
200,258,16.66,2025-07-16
201,258,72.05,2025-09-18
202,261,30.17,2026-02-08
203,261,22.5,2026-05-14
204,261,9.99,2025-12-06
205,261,42.14,2026-01-18
206,263,33.75,2026-03-10
207,263,66.94,2026-04-11
208,263,23.0,2025-05-22
209,263,104.67,2025-09-13
210,265,61.59,2025-09-25
211,265,114.52,2025-06-16
212,266,119.31,2025-12-11
213,266,48.57,2025-09-26
214,266,93.86,2025-12-27
215,266,31.03,2026-02-17
216,266,46.13,2025-10-03
217,270,23.88,2026-02-24
218,276,16.36,2026-04-28
219,276,15.65,2026-01-24
220,278,34.54,2025-08-19
221,279,116.15,2025-12-30
222,279,65.85,2025-10-16
223,279,82.9,2025-07-05
224,279,98.86,2025-10-07
225,279,9.89,2025-12-12
226,281,119.56,2025-12-14
227,281,42.34,2026-01-29
228,288,42.08,2025-08-14
229,288,46.46,2026-03-10
230,288,64.47,2025-11-26
231,291,69.67,2025-12-02
232,291,112.9,2025-11-04
233,291,70.61,2026-04-12
234,291,67.84,2025-12-11
235,291,68.5,2026-02-02
236,300,82.86,2025-11-07
237,300,52.62,2025-07-04
238,300,8.83,2025-07-02
239,303,93.72,2026-02-17
240,303,28.23,2025-11-16
241,303,121.73,2026-01-11
242,303,54.09,2025-11-21
243,308,86.36,2026-03-26
244,311,10.86,2025-06-14
245,313,73.29,2026-04-04
246,313,17.22,2026-01-05
247,315,106.1,2025-10-26
248,315,90.17,2026-01-06
249,315,14.77,2025-10-26
250,315,98.87,2026-03-18
251,315,72.16,2026-01-20
252,317,80.5,2026-04-23
253,317,15.61,2025-11-07
254,317,104.55,2025-06-17
255,324,128.83,2026-01-08
256,324,50.35,2025-05-25
257,324,44.55,2025-05-19
258,328,64.05,2025-08-20
259,328,11.72,2025-12-03
260,332,96.43,2025-12-08
261,332,96.68,2026-04-28
262,332,111.44,2025-09-16
263,332,80.96,2025-08-17
264,333,13.85,2025-09-11
265,333,29.98,2025-05-20
266,333,22.74,2026-03-24
267,338,53.72,2025-09-01
268,338,8.52,2025-09-01
269,339,19.01,2025-11-09
270,339,59.81,2025-07-16
271,339,36.5,2026-02-26
272,339,12.11,2026-03-13
273,340,83.51,2025-06-09
274,340,101.24,2025-08-23
275,342,112.15,2025-06-08
276,347,157.19,2026-03-21
277,347,53.9,2025-11-11
278,347,76.9,2026-04-20
279,351,31.4,2026-03-08
280,359,37.6,2025-10-25
281,359,105.56,2025-05-31
282,359,32.65,2025-10-16
283,360,40.74,2025-07-27
284,360,70.37,2026-02-04
285,360,77.34,2026-03-16
286,360,96.14,2026-01-25
287,363,34.92,2025-11-17
288,364,24.62,2026-04-28
289,364,18.01,2025-05-18
290,365,11.41,2026-01-27
291,367,154.14,2025-11-14
292,367,152.04,2026-04-24
293,367,89.4,2025-10-09
294,367,54.18,2025-10-05
295,371,100.81,2026-05-01
296,371,116.77,2026-03-31
297,372,143.88,2025-09-03
298,372,21.29,2025-07-26
299,376,80.67,2025-11-02
300,376,57.04,2025-12-05
301,376,18.53,2025-12-20
302,377,111.28,2025-08-08
303,377,6.17,2026-04-15
304,377,15.76,2026-04-17
305,377,109.29,2025-12-21
306,379,13.82,2026-05-11
307,379,90.68,2026-02-02
308,382,82.04,2026-04-14
309,382,8.84,2025-12-08
310,382,93.5,2026-01-24
311,382,80.77,2025-06-21
312,387,95.39,2025-12-02
313,387,88.43,2025-12-16
314,387,13.22,2026-05-07
315,387,87.01,2025-12-24
316,388,93.03,2025-08-21
317,389,122.79,2025-09-05
318,389,124.06,2026-03-24
319,389,52.11,2025-10-14
320,389,51.64,2025-07-29
321,391,60.21,2025-09-15
322,391,49.54,2026-04-07
323,391,12.76,2025-12-24
324,391,37.61,2025-10-31
325,391,21.97,2026-03-25
326,398,103.31,2025-10-11
327,398,12.11,2026-01-22
328,401,34.64,2025-07-09
329,401,32.33,2025-08-28
330,401,58.64,2026-03-13
331,401,15.34,2025-08-29
332,405,46.65,2025-10-06
333,405,56.51,2025-09-27
334,406,84.28,2025-10-31
335,406,117.37,2025-08-30
336,413,155.84,2025-08-31
337,414,31.82,2025-11-11
338,414,43.7,2026-04-23
339,421,37.11,2025-06-29
340,423,97.66,2025-08-16
341,423,10.71,2026-03-03
342,423,39.88,2025-12-18
343,423,55.94,2025-10-23
