user_id,signup_date,country,acquisition_channel
1,2025-06-26,Germany,TikTok
2,2026-01-02,India,TikTok
3,2026-04-02,India,TikTok
4,2025-09-28,India,Google
5,2026-03-20,India,Google
6,2026-04-27,USA,YouTube
7,2026-04-17,UK,Instagram
8,2025-12-08,India,Google
9,2025-07-20,India,Instagram
10,2026-01-23,UK,Google
11,2026-03-16,India,Instagram
12,2025-11-06,Germany,TikTok
13,2026-05-10,Germany,TikTok
14,2026-02-07,Canada,Instagram
15,2025-09-17,USA,Instagram
16,2025-10-30,Germany,TikTok
17,2025-10-05,Canada,Organic
18,2026-04-29,Germany,TikTok
19,2026-02-06,USA,TikTok
20,2026-01-17,USA,Instagram
21,2025-08-28,Germany,Instagram
22,2025-09-08,USA,Google
23,2026-02-06,Germany,TikTok
24,2025-10-11,UK,YouTube
25,2026-05-08,USA,TikTok
26,2025-12-26,Germany,Organic
27,2025-11-24,USA,Google
28,2025-07-02,Germany,Instagram
29,2026-04-29,Canada,Google
30,2025-06-04,Canada,Instagram
31,2026-01-14,USA,Instagram
32,2026-03-01,India,Instagram
33,2025-06-29,USA,YouTube
34,2026-03-31,India,TikTok
35,2026-01-05,Canada,TikTok
36,2025-12-25,Canada,Google
37,2026-02-23,Germany,Instagram
38,2025-05-22,India,Organic
39,2026-03-10,India,Organic
40,2025-10-07,Canada,Google
41,2026-02-22,Germany,TikTok
42,2025-10-21,Germany,TikTok
43,2026-04-01,Canada,TikTok
44,2026-05-16,UK,TikTok
45,2025-11-01,UK,TikTok
46,2026-03-10,India,Instagram
47,2025-07-17,India,Instagram
48,2026-01-28,Canada,TikTok
49,2026-01-12,USA,TikTok
50,2025-05-24,Canada,TikTok
51,2025-10-02,India,YouTube
52,2026-04-22,UK,TikTok
53,2025-06-10,USA,TikTok
54,2025-10-23,USA,TikTok
55,2025-10-22,Canada,Instagram
56,2026-04-11,India,Organic
57,2025-06-01,Canada,TikTok
58,2025-06-05,Germany,Instagram
59,2025-07-11,UK,TikTok
60,2026-04-01,India,Instagram
61,2025-12-13,Canada,Instagram
62,2026-04-04,India,Google
63,2026-01-23,India,TikTok
64,2025-11-09,Canada,Instagram
65,2026-03-31,Germany,TikTok
66,2026-01-10,Canada,TikTok
67,2025-11-09,Canada,Organic
68,2025-05-30,UK,TikTok
69,2025-09-08,USA,TikTok
70,2025-08-02,Germany,Organic
71,2025-11-22,Germany,Google
72,2025-12-24,UK,Instagram
73,2026-01-28,Canada,Google
74,2025-10-26,Germany,Organic
75,2026-01-04,Canada,TikTok
76,2025-12-30,Germany,Instagram
77,2025-09-19,Canada,YouTube
78,2025-08-21,India,Organic
79,2025-09-22,Canada,TikTok
80,2026-01-02,Germany,Google
81,2026-02-18,Germany,Google
82,2025-07-12,Canada,Google
83,2025-08-02,Canada,YouTube
84,2025-09-17,India,TikTok
85,2026-04-20,Germany,Instagram
86,2026-03-14,Canada,TikTok
87,2025-06-25,Canada,Instagram
88,2025-09-02,UK,TikTok
89,2025-05-29,USA,Instagram
90,2026-04-02,USA,Google
91,2026-03-14,Canada,Organic
92,2026-04-14,USA,Google
93,2025-05-22,Germany,Google
94,2025-09-05,USA,Instagram
95,2026-01-31,Canada,YouTube
96,2025-10-19,India,TikTok
97,2025-11-15,Germany,TikTok
98,2026-01-10,USA,YouTube
99,2025-05-29,UK,Google
100,2025-08-17,Canada,TikTok
101,2026-02-21,Germany,YouTube
102,2026-05-01,Germany,Google
103,2025-08-11,Canada,Instagram
104,2025-07-15,Germany,Instagram
105,2025-05-28,USA,TikTok
106,2025-06-16,India,Organic
107,2025-12-09,Canada,YouTube
108,2026-03-06,USA,Google
109,2025-11-14,Germany,TikTok
110,2026-01-10,India,Organic
111,2025-07-31,Germany,Instagram
112,2025-12-14,India,Google
113,2026-01-20,USA,TikTok
114,2025-06-17,UK,Instagram
115,2026-04-05,USA,Google
116,2025-12-09,Germany,TikTok
117,2026-03-22,India,Google
118,2025-10-09,UK,Google
119,2026-01-13,Canada,Google
120,2025-05-18,UK,Instagram
121,2025-09-12,Canada,Organic
122,2025-08-24,USA,Instagram
123,2025-10-26,USA,YouTube
124,2025-07-05,Germany,TikTok
125,2025-07-06,Germany,TikTok
126,2026-03-19,Germany,YouTube
127,2026-02-06,UK,Instagram
128,2026-03-06,India,YouTube
129,2025-06-17,India,YouTube
130,2025-06-22,USA,Google
131,2026-01-08,Canada,Google
132,2025-10-04,India,TikTok
133,2025-08-22,India,TikTok
134,2025-06-17,Canada,TikTok
135,2026-02-10,Canada,YouTube
136,2025-10-17,India,TikTok
137,2025-08-09,UK,Instagram
138,2025-12-20,Canada,YouTube
139,2026-03-03,USA,Instagram
140,2025-12-28,Canada,TikTok
